name,released,rating,rating_top,ratings_count,metacritic,updated,reviews_count,age_rating,genre,subgenre_1,subgenre_2,subgenre_3,subgenre_4,subgenre_5,subgenre_6,subgenre_7,subgenre_8,subgenre_9,subgenre_10,num_stores,platform_1,platform_2,platform_3,platform_4,platform_5,platform_6,platform_7,platform_8,platform_9,platform_10,platform_11,platform_12,platform_13,platform_14,platform_15,platform_16,platform_17,platform_18,platform_19,platform_20,platform_21,platform_22,store1,store2,store3,store4,store5,store6,store7,store8,store9,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,tag21,tag22,tag23,tag24,tag25,tag26,tag27,tag28,tag29,tag30,tag31,tag32,tag33,tag34,tag35,tag36,tag37,tag38,tag39,tag40,tag41,tag42,tag43,tag44,tag45,tag46,tag47,tag48,tag49,tag50,tag51,tag52,tag53,tag54,tag55,num_tags,num_platforms,total_platform_game_counts,total_games_counts_stores,Publisher,Developer,Japan Sales
Rocket League,2015-07-07,3,4,2783,86,2024-08-09 12:48:23,2804,Everyone,'Sports',Racing,Indie,0,0,0,0,0,0,0,0,5,Nintendo Switch,Linux,macOS,Xbox One,PC,PlayStation 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Xbox Store,Steam,PlayStation Store,Nintendo Store,Epic Games,0,0,0,0,Singleplayer,Steam Achievements,Multiplayer,Full controller support,Steam Cloud,steam-trading-cards,Great Soundtrack,Co-op,cooperative,Online Co-Op,Funny,Split Screen,Local Co-Op,Local Multiplayer,stats,Steam Workshop,Cross-Platform Multiplayer,Team-Based,Fast-Paced,Competitive,4 Player Local,4 giocatori divano,Football,Soccer,lan party,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,735039,121299,505 Games,Psyonix Studios,1340000
Rocket League,2015-07-07,3,4,2783,86,2024-08-09 12:48:23,2804,Everyone,'Sports',Racing,Indie,0,0,0,0,0,0,0,0,5,Nintendo Switch,Linux,macOS,Xbox One,PC,PlayStation 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Xbox Store,Steam,PlayStation Store,Nintendo Store,Epic Games,0,0,0,0,Singleplayer,Steam Achievements,Multiplayer,Full controller support,Steam Cloud,steam-trading-cards,Great Soundtrack,Co-op,cooperative,Online Co-Op,Funny,Split Screen,Local Co-Op,Local Multiplayer,stats,Steam Workshop,Cross-Platform Multiplayer,Team-Based,Fast-Paced,Competitive,4 Player Local,4 giocatori divano,Football,Soccer,lan party,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,735039,121299,505 Games,Psyonix Studios,750000
Rocket League,2015-07-07,3,4,2783,86,2024-08-09 12:48:23,2804,Everyone,'Sports',Racing,Indie,0,0,0,0,0,0,0,0,5,Nintendo Switch,Linux,macOS,Xbox One,PC,PlayStation 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Xbox Store,Steam,PlayStation Store,Nintendo Store,Epic Games,0,0,0,0,Singleplayer,Steam Achievements,Multiplayer,Full controller support,Steam Cloud,steam-trading-cards,Great Soundtrack,Co-op,cooperative,Online Co-Op,Funny,Split Screen,Local Co-Op,Local Multiplayer,stats,Steam Workshop,Cross-Platform Multiplayer,Team-Based,Fast-Paced,Competitive,4 Player Local,4 giocatori divano,Football,Soccer,lan party,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,735039,121299,505 Games,Psyonix Studios,160000
Rocket League,2015-07-07,3,4,2783,86,2024-08-09 12:48:23,2804,Everyone,'Sports',Racing,Indie,0,0,0,0,0,0,0,0,5,Nintendo Switch,Linux,macOS,Xbox One,PC,PlayStation 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Xbox Store,Steam,PlayStation Store,Nintendo Store,Epic Games,0,0,0,0,Singleplayer,Steam Achievements,Multiplayer,Full controller support,Steam Cloud,steam-trading-cards,Great Soundtrack,Co-op,cooperative,Online Co-Op,Funny,Split Screen,Local Co-Op,Local Multiplayer,stats,Steam Workshop,Cross-Platform Multiplayer,Team-Based,Fast-Paced,Competitive,4 Player Local,4 giocatori divano,Football,Soccer,lan party,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,735039,121299,Psyonix Studios,Psyonix Studios,80000
Metal Gear Solid V: The Phantom Pain,2015-09-01,4,5,2462,91,2024-08-23 10:58:14,2480,Mature,'Action',Shooter,0,0,0,0,0,0,0,0,0,4,PlayStation 4,PC,Xbox One,PlayStation 3,Xbox 360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PlayStation Store,Steam,Xbox 360 Store,Xbox Store,0,0,0,0,0,Singleplayer,Steam Achievements,Multiplayer,Full controller support,Steam Cloud,Atmospheric,steam-trading-cards,Great Soundtrack,Story Rich,Open World,Third Person,Sci-fi,Steam Leaderboards,Sandbox,Stealth,Tactical,Third-Person Shooter,Dark,Captions available,Replay Value,Cinematic,Heist,Horses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,553458,112824,Konami Digital Entertainment,Kojima Productions,1150000
Metal Gear Solid V: The Phantom Pain,2015-09-01,4,5,2462,91,2024-08-23 10:58:14,2480,Mature,'Action',Shooter,0,0,0,0,0,0,0,0,0,4,PlayStation 4,PC,Xbox One,PlayStation 3,Xbox 360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PlayStation Store,Steam,Xbox 360 Store,Xbox Store,0,0,0,0,0,Singleplayer,Steam Achievements,Multiplayer,Full controller support,Steam Cloud,Atmospheric,steam-trading-cards,Great Soundtrack,Story Rich,Open World,Third Person,Sci-fi,Steam Leaderboards,Sandbox,Stealth,Tactical,Third-Person Shooter,Dark,Captions available,Replay Value,Cinematic,Heist,Horses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,553458,112824,Konami Digital Entertainment,Kojima Productions,250000
Metal Gear Solid V: The Phantom Pain,2015-09-01,4,5,2462,91,2024-08-23 10:58:14,2480,Mature,'Action',Shooter,0,0,0,0,0,0,0,0,0,4,PlayStation 4,PC,Xbox One,PlayStation 3,Xbox 360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PlayStation Store,Steam,Xbox 360 Store,Xbox Store,0,0,0,0,0,Singleplayer,Steam Achievements,Multiplayer,Full controller support,Steam Cloud,Atmospheric,steam-trading-cards,Great Soundtrack,Story Rich,Open World,Third Person,Sci-fi,Steam Leaderboards,Sandbox,Stealth,Tactical,Third-Person Shooter,Dark,Captions available,Replay Value,Cinematic,Heist,Horses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,553458,112824,Konami Digital Entertainment,Kojima Productions,50000
Batman: Arkham Knight,2015-06-23,4,4,2564,81,2024-08-22 15:05:48,2584,Mature,'Action',0,0,0,0,0,0,0,0,0,0,6,PC,Nintendo Switch,Xbox One,PlayStation 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nintendo Store,PlayStation Store,Epic Games,GOG,Xbox Store,Steam,0,0,0,Singleplayer,Steam Achievements,Full controller support,Steam Cloud,Atmospheric,steam-trading-cards,Story Rich,Open World,Third Person,Horror,Steam Leaderboards,Sandbox,Stealth,Dark,Mature,Beat 'em up,Detective,Comic Book,Superhero,Batman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,552989,127581,Warner Bros. Interactive,Rocksteady Studios,1680000
Batman: Arkham Knight,2015-06-23,4,4,2564,81,2024-08-22 15:05:48,2584,Mature,'Action',0,0,0,0,0,0,0,0,0,0,6,PC,Nintendo Switch,Xbox One,PlayStation 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nintendo Store,PlayStation Store,Epic Games,GOG,Xbox Store,Steam,0,0,0,Singleplayer,Steam Achievements,Full controller support,Steam Cloud,Atmospheric,steam-trading-cards,Story Rich,Open World,Third Person,Horror,Steam Leaderboards,Sandbox,Stealth,Dark,Mature,Beat 'em up,Detective,Comic Book,Superhero,Batman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,552989,127581,Warner Bros. Interactive Entertainment,Rocksteady Studios,460000
Hitman,2016-03-11,3,4,1976,83,2024-08-27 16:21:18,1987,Adults Only,'Action',Shooter,Simulation,0,0,0,0,0,0,0,0,4,PlayStation 4,Linux,macOS,PC,Xbox One,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PlayStation Store,Steam,Xbox Store,Epic Games,0,0,0,0,0,Singleplayer,Full controller support,Atmospheric,Great Soundtrack,Story Rich,Open World,Third Person,Sandbox,Stealth,Tactical,Third-Person Shooter,Nudity,Crime,Assassin,Episodic,Illuminati,Heist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,729536,112253,Square Enix,IO Interactive,360000
Hitman,2016-03-11,3,4,1976,83,2024-08-27 16:21:18,1987,Adults Only,'Action',Shooter,Simulation,0,0,0,0,0,0,0,0,4,PlayStation 4,Linux,macOS,PC,Xbox One,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PlayStation Store,Steam,Xbox Store,Epic Games,0,0,0,0,0,Singleplayer,Full controller support,Atmospheric,Great Soundtrack,Story Rich,Open World,Third Person,Sandbox,Stealth,Tactical,Third-Person Shooter,Nudity,Crime,Assassin,Episodic,Illuminati,Heist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,729536,112253,Square Enix,IO Interactive,80000
Deus Ex: Mankind Divided,2016-08-22,3,4,1964,83,2024-08-26 20:25:14,1984,Mature,'Action',RPG,0,0,0,0,0,0,0,0,0,4,Linux,PC,Xbox One,macOS,PlayStation 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GOG,PlayStation Store,Steam,Xbox Store,0,0,0,0,0,Singleplayer,Full controller support,Atmospheric,Great Soundtrack,RPG,Story Rich,Open World,First-Person,Third Person,Sci-fi,FPS,Stealth,Futuristic,Cyberpunk,Dystopian,Illuminati,Conspiracy,Transhumanism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,729536,117190,Square Enix,Eidos Montreal,340000
Deus Ex: Mankind Divided,2016-08-22,3,4,1964,83,2024-08-26 20:25:14,1984,Mature,'Action',RPG,0,0,0,0,0,0,0,0,0,4,Linux,PC,Xbox One,macOS,PlayStation 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GOG,PlayStation Store,Steam,Xbox Store,0,0,0,0,0,Singleplayer,Full controller support,Atmospheric,Great Soundtrack,RPG,Story Rich,Open World,First-Person,Third Person,Sci-fi,FPS,Stealth,Futuristic,Cyberpunk,Dystopian,Illuminati,Conspiracy,Transhumanism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,729536,117190,Square Enix,Eidos Montreal,110000
Stardew Valley,2016-02-25,4,5,2302,89,2024-08-28 20:29:08,2332,Everyone 10+,'RPG',Simulation,Indie,0,0,0,0,0,0,0,0,7,Nintendo Switch,Xbox One,PC,iOS,macOS,Linux,PlayStation 4,PS Vita,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,PlayStation Store,App Store,Xbox Store,Steam,GOG,Nintendo Store,Google Play,0,0,Singleplayer,Steam Achievements,Multiplayer,Steam Cloud,Atmospheric,steam-trading-cards,Great Soundtrack,RPG,Co-op,Open World,2D,Partial Controller Support,Sandbox,Pixel Graphics,Retro,role-playing,Cute,Crafting,Building,overlay,Relaxing,Dating Sim,Shared/Split Screen Co-op,cloud saves,Fishing,Agriculture,co-op multiplayer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,9,866220,218892,505 Games,ConcernedApe,40000
The Elder Scrolls V: Skyrim Special Edition,2016-10-27,4,5,1905,74,2024-08-04 17:19:29,1914,Mature,'Action',RPG,0,0,0,0,0,0,0,0,0,3,PlayStation 4,PC,Xbox One,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steam,PlayStation Store,Xbox Store,0,0,0,0,0,0,Singleplayer,Steam Achievements,Steam Cloud,Atmospheric,Great Soundtrack,RPG,Story Rich,Open World,First-Person,Third Person,Partial Controller Support,Fantasy,Classic,Female Protagonist,Stealth,Moddable,Character Customization,Walking Simulator,Magic,Remake,Dragons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,547486,110908,Bethesda Softworks,Bethesda Softworks,1500000
The Elder Scrolls V: Skyrim Special Edition,2016-10-27,4,5,1905,74,2024-08-04 17:19:29,1914,Mature,'Action',RPG,0,0,0,0,0,0,0,0,0,3,PlayStation 4,PC,Xbox One,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steam,PlayStation Store,Xbox Store,0,0,0,0,0,0,Singleplayer,Steam Achievements,Steam Cloud,Atmospheric,Great Soundtrack,RPG,Story Rich,Open World,First-Person,Third Person,Partial Controller Support,Fantasy,Classic,Female Protagonist,Stealth,Moddable,Character Customization,Walking Simulator,Magic,Remake,Dragons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,547486,110908,Bethesda Softworks,Bethesda Softworks,530000
Dishonored 2,2016-11-10,4,4,1944,86,2024-08-20 09:16:40,1965,Mature,'Action',RPG,0,0,0,0,0,0,0,0,0,4,Xbox One,PC,PlayStation 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GOG,PlayStation Store,Xbox Store,Steam,0,0,0,0,0,Singleplayer,Steam Achievements,Full controller support,Steam Cloud,Atmospheric,steam-trading-cards,Great Soundtrack,Story Rich,Open World,First-Person,Gore,Exploration,Female Protagonist,Stealth,Magic,Parkour,Dystopian,Steampunk,Assassin,Illuminati,Heist,Supernatural,Immersive Sim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,547486,117190,Bethesda Softworks,Arkane Studios,1020000
Dishonored 2,2016-11-10,4,4,1944,86,2024-08-20 09:16:40,1965,Mature,'Action',RPG,0,0,0,0,0,0,0,0,0,4,Xbox One,PC,PlayStation 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GOG,PlayStation Store,Xbox Store,Steam,0,0,0,0,0,Singleplayer,Steam Achievements,Full controller support,Steam Cloud,Atmospheric,steam-trading-cards,Great Soundtrack,Story Rich,Open World,First-Person,Gore,Exploration,Female Protagonist,Stealth,Magic,Parkour,Dystopian,Steampunk,Assassin,Illuminati,Heist,Supernatural,Immersive Sim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,547486,117190,Bethesda Softworks,Arkane Studios,310000
Dishonored 2,2016-11-10,4,4,1944,86,2024-08-20 09:16:40,1965,Mature,'Action',RPG,0,0,0,0,0,0,0,0,0,4,Xbox One,PC,PlayStation 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GOG,PlayStation Store,Xbox Store,Steam,0,0,0,0,0,Singleplayer,Steam Achievements,Full controller support,Steam Cloud,Atmospheric,steam-trading-cards,Great Soundtrack,Story Rich,Open World,First-Person,Gore,Exploration,Female Protagonist,Stealth,Magic,Parkour,Dystopian,Steampunk,Assassin,Illuminati,Heist,Supernatural,Immersive Sim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,547486,117190,Bethesda Softworks,Arkane Studios,170000
Hellblade: Senua's Sacrifice,2017-08-07,4,5,2210,83,2024-08-26 16:43:42,2263,Mature,'Action',Adventure,Indie,0,0,0,0,0,0,0,0,5,Xbox One,Nintendo Switch,PlayStation 4,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PlayStation Store,GOG,Xbox Store,Nintendo Store,Steam,0,0,0,0,Singleplayer,Steam Achievements,Full controller support,Steam Cloud,Atmospheric,steam-trading-cards,Story Rich,Third Person,Horror,Fantasy,Female Protagonist,Violent,Action-Adventure,Dark,Hack and Slash,Dark Fantasy,Realistic,Walking Simulator,Blood,Psychological,Mythology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,552989,126236,505 Games,Ninja Theory,10000
L.A. Noire,2011-05-17,4,4,1997,83,2024-08-24 19:57:26,2017,Mature,'Action',Adventure,0,0,0,0,0,0,0,0,0,5,PlayStation 4,PlayStation 3,Xbox 360,PC,Xbox One,Nintendo Switch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PlayStation Store,Steam,Nintendo Store,Xbox 360 Store,Xbox Store,0,0,0,0,Singleplayer,Atmospheric,RPG,Story Rich,Open World,Third Person,Partial Controller Support,Third-Person Shooter,Nudity,Mystery,Mature,Cinematic,Crime,3D Vision,Detective,Noir,Investigation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,558961,121870,Rockstar Games,Team Bondi,320000
